datetime,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2015-09-08,-0.575673,-0.7083256,-0.7495916,-0.5572153,-0.19723952,0.17244256,0.35667685,0.34723014,0.2880792,0.30889988,0.23730199,0.15769212,0.09498858,-0.016525187,-0.045578912,0.089280605,0.25783977,0.43348923,0.37176895,0.18350989,0.07855403,-0.05585824,-0.25947076,-0.4151669
2015-09-09,-0.5135847,-0.6382432,-0.6796644,-0.5064209,-0.20350787,0.0972902,0.28284228,0.27283323,0.19979063,0.22364789,0.14213529,0.051407,0.0035052155,-0.11032407,-0.10010437,0.03220051,0.21248817,0.3725245,0.32408452,0.14598577,0.03477053,-0.09593762,-0.23508394,-0.38359222
2015-09-10,-0.5281979,-0.6560209,-0.68379784,-0.4989567,-0.16229494,0.16780943,0.3411082,0.3414986,0.26688522,0.27880108,0.21088009,0.10299413,0.080480926,-0.04571388,-0.04654756,0.07016656,0.21000846,0.3551786,0.29564136,0.110960804,0.056495987,-0.09988122,-0.2982697,-0.42496252
2015-09-11,-0.5144813,-0.6946451,-0.73000944,-0.58728147,-0.27418768,0.07314109,0.2704973,0.27910668,0.22642069,0.23424433,0.23242576,0.14559548,0.07472275,-0.033753574,-0.049575955,0.073781155,0.25581184,0.47881758,0.37587696,0.21978591,0.24144454,0.06857146,-0.22300681,-0.40870267
2015-09-12,-0.44590813,-0.59454453,-0.65986615,-0.62165385,-0.45330694,-0.18431692,0.03420645,0.17818464,0.15554932,0.13035733,0.13871923,0.023458103,-0.090938844,-0.1944509,-0.22388703,-0.12185588,0.13183098,0.37040323,0.29741758,0.1256712,0.15684186,0.027816582,-0.2019939,-0.42257127
2015-09-13,-0.3930498,-0.5707302,-0.63925153,-0.6277534,-0.50355476,-0.3481185,-0.2828931,-0.16381225,-0.15386754,-0.14114898,-0.09275217,-0.2059304,-0.30577898,-0.423384,-0.43893564,-0.28161615,-0.05857503,0.23109908,0.289823,0.18835905,0.19441134,0.098230965,-0.15759103,-0.38980955
2015-09-14,-0.6396426,-0.73343325,-0.77144873,-0.58077586,-0.15261415,0.27399626,0.4446452,0.49745688,0.44074777,0.4081473,0.39530692,0.23942733,0.20404257,0.046727017,-0.006646838,0.12281741,0.22950538,0.3626298,0.25163436,0.07163522,0.0820346,-0.0815938,-0.45748773,-0.6060376
2015-09-15,-0.72017825,-0.8317937,-0.8665846,-0.6894528,-0.20915644,0.21584956,0.39776617,0.4245679,0.43264621,0.48405558,0.42450827,0.30008724,0.24779892,0.12092902,0.07175995,0.15535717,0.34434903,0.5129704,0.40691,0.23872696,0.21221676,-0.0047558188,-0.29615864,-0.4588302
2015-09-16,-0.6316864,-0.7122401,-0.74807084,-0.5729772,-0.14976102,0.31159666,0.5190385,0.56264836,0.4722488,0.46919495,0.3734306,0.23504974,0.17030188,0.05538712,-0.013684943,0.09963892,0.25067243,0.39065167,0.23957492,0.003158842,-0.03221337,-0.18287227,-0.46665856,-0.62665963
2015-09-17,-0.6905158,-0.81697714,-0.85508454,-0.7230071,-0.3370938,0.07329707,0.29675782,0.4160864,0.44735396,0.5008653,0.46463037,0.34423342,0.2844052,0.18742806,0.096093774,0.14877655,0.3077628,0.5187243,0.38800734,0.15815324,0.21442224,0.036217414,-0.33976734,-0.5101954
2015-09-18,-0.62630886,-0.73283863,-0.7935128,-0.6021521,-0.21304648,0.22481696,0.48889503,0.5089779,0.4037875,0.4126676,0.33306235,0.19004859,0.15814869,0.050811734,0.012126585,0.16394751,0.3812142,0.52855337,0.39370996,0.18537231,0.06632415,-0.12070601,-0.34325692,-0.5093454
2015-09-19,-0.45957884,-0.60326874,-0.7006384,-0.6551845,-0.5147836,-0.27868322,-0.089838676,0.059689406,0.018256886,0.02659034,0.007613154,-0.11566388,-0.19822152,-0.3120518,-0.32184625,-0.15270862,0.13059276,0.40211743,0.38317922,0.19529542,0.09437987,-0.03889487,-0.26398715,-0.44247508
2015-09-20,-0.5068323,-0.68635094,-0.7632921,-0.7019005,-0.5578978,-0.4289107,-0.323092,-0.24628106,-0.18961267,-0.13650452,-0.14485261,-0.23457234,-0.3257721,-0.44101366,-0.42922917,-0.2964156,-0.017840989,0.25366405,0.32039794,0.20276418,0.08798005,0.00073879946,-0.14547883,-0.30930164
2015-09-21,-0.64003587,-0.76461643,-0.7955686,-0.54596525,-0.055882722,0.33528054,0.5075862,0.43952924,0.32726017,0.34023812,0.27330297,0.18047935,0.113195226,-0.025050923,-0.008867855,0.17130177,0.34217533,0.4820825,0.3723317,0.26602644,0.12607811,-0.042683117,-0.2852405,-0.4647117
2015-09-22,-0.6242506,-0.770224,-0.7930435,-0.5991237,-0.16002727,0.30761412,0.46560287,0.49794078,0.4797514,0.46902084,0.41232514,0.31002548,0.23208255,0.11140033,0.029824568,0.08873567,0.27422452,0.4496529,0.42292735,0.23967698,0.16974063,-0.025947705,-0.22423838,-0.3412829
2015-09-23,-0.58370036,-0.70624936,-0.7588528,-0.5239445,-0.07596888,0.3831071,0.6043502,0.5946302,0.5288687,0.50489765,0.4475031,0.33395377,0.27911925,0.16456738,0.09393416,0.1860343,0.40250146,0.56897986,0.46925277,0.2496787,0.11074749,-0.05321567,-0.21376733,-0.36533722
2015-09-24,-0.4769153,-0.6403252,-0.7185114,-0.56027156,-0.2719112,0.17379266,0.48679793,0.48791912,0.40876606,0.36359236,0.34423715,0.22439404,0.18273002,0.075493,0.030185193,0.12924716,0.38907036,0.6096182,0.50037104,0.22054029,0.107405104,-0.028155617,-0.23743708,-0.38048747
2015-09-25,-0.5114678,-0.65807724,-0.70645285,-0.51159763,-0.16316745,0.23465405,0.46205243,0.46944463,0.3935898,0.38169834,0.34165454,0.20739253,0.17309706,0.051786367,0.0023471843,0.092687346,0.3117296,0.50980043,0.44771048,0.24037646,0.14977835,-0.018337086,-0.17091452,-0.3190432
2015-09-26,-0.35218242,-0.48205334,-0.59219927,-0.54614115,-0.41041026,-0.11570407,0.13723709,0.22534558,0.16845995,0.13297242,0.11183032,-0.015809948,-0.086591475,-0.22420774,-0.24550766,-0.13002367,0.1879365,0.4627641,0.44192716,0.16738015,0.03355238,-0.042880837,-0.16636993,-0.33323368
2015-09-27,-0.32216725,-0.48354998,-0.608969,-0.61593914,-0.49211773,-0.34444013,-0.22572468,-0.10950877,-0.10595932,-0.08223805,-0.08093067,-0.16041194,-0.31225473,-0.4477923,-0.43893015,-0.259642,0.0701965,0.43727815,0.46463472,0.3014191,0.12794586,0.09180675,-0.089457594,-0.3117829
